Organization,Followed On
ANALYTICSWITHANAND,Sat Oct 08  2022
Simplilearn,Sun Sep 04  2022
iNeuron.ai,Mon Aug 29  2022
Tata Consultancy Services – Asia Pacific ,Wed Aug 17  2022
Unyscape,Sun Jan 02 2022
LinkedIn Learning ⋅ Course Certificate,Fri Jul 02  2021
Inovaticus Marketing Solutions LLP,Wed Jun 02  2021
Catharsis,Mon May 31  2021
"Calcutta University, Kolkata",Wed Aug 17  2022
ccc by stc,Sat May 29  2021
Tata Consultancy Services,Sat May 29  2021
Surendranath Evening College,Wed Sep 18  2019
LinkedIn Guide to Networking,Wed Sep 18 2019
